user_id,retweet_user_id,screen_name,retweet_screen_name,retweet_created_at,text,time
x62541585,x62541585,Piers_Corbyn,Piers_Corbyn,2020/1/13 13:52,"As #StormBrendan STRIKES
#PREPARE MORE EXTREMES
 
*NEW* DEALS 
HURRY *3FOR1* for 45d30d #Forecasts+more!
 
#SubscribeNOW BI Eu Usa 
=&gt;https://t.co/GnYsHG9wh3

@Action4LifeN #ClimateBreakdown #Commodities #Oil #AustralianBushfire @FarmersWeekly @FarmBureau @BigJoeBastardi @AndyOz2 https://t.co/5KI6WuiXZk",2020/1/13 13:52
x902276340,x825783812227489794,marilynwinders,Jr3597,2020/1/13 13:52,"179/<U+0001F1E6><U+0001F1FA><U+0001F4B8> #AustralianBushfires
@NAB customers who lost their homes in the current season #bushfires can access $2,000 grants for temp accommodation, food &amp; clothing.Â 

NAB Assist team @ 1300683106

https://t.co/zMbZzQ0RaW

#AustraliaBurning #Australia #DAT #AustralianBushfire https://t.co/ei6f62BuBA",2020/1/13 13:52
x3154207014,x825783812227489794,HumboldtBunny,Jr3597,2020/1/13 13:52,"179/<U+0001F1E6><U+0001F1FA><U+0001F4B8> #AustralianBushfires
@NAB customers who lost their homes in the current season #bushfires can access $2,000 grants for temp accommodation, food &amp; clothing.Â 

NAB Assist team @ 1300683106

https://t.co/zMbZzQ0RaW

#AustraliaBurning #Australia #DAT #AustralianBushfire https://t.co/ei6f62BuBA",2020/1/13 13:52
x825783812227489794,x825783812227489794,Jr3597,Jr3597,2020/1/13 13:52,"179/<U+0001F1E6><U+0001F1FA><U+0001F4B8> #AustralianBushfires
@NAB customers who lost their homes in the current season #bushfires can access $2,000 grants for temp accommodation, food &amp; clothing.Â 

NAB Assist team @ 1300683106

https://t.co/zMbZzQ0RaW

#AustraliaBurning #Australia #DAT #AustralianBushfire https://t.co/ei6f62BuBA",2020/1/13 13:52
x833224452787761152,x825783812227489794,elle_desylva,Jr3597,2020/1/13 13:52,"179/<U+0001F1E6><U+0001F1FA><U+0001F4B8> #AustralianBushfires
@NAB customers who lost their homes in the current season #bushfires can access $2,000 grants for temp accommodation, food &amp; clothing.Â 

NAB Assist team @ 1300683106

https://t.co/zMbZzQ0RaW

#AustraliaBurning #Australia #DAT #AustralianBushfire https://t.co/ei6f62BuBA",2020/1/13 13:52
x699454646050394112,x113562185,pasta_66,koomyie,2020/1/13 14:21,"<U+672C><U+65E5><U+306E><U+30B3><U+30A2><U+30E9><U+0001F428><U+0001F622>
@world.disasters_2020
#PrayForAustralia #AustraliaBurning #AustralianBushfire #coala #PrayForAustraliaFromJapan https://t.co/fGabfRVG4H",2020/1/13 14:21
x902276340,x825783812227489794,marilynwinders,Jr3597,2020/1/13 14:31,"180/<U+0001F1E6><U+0001F1FA><U+0001F4B8> #AustralianBushfires
#NSWfires ""Assistance is avail if you can show you lost income/have been adversely affected as a direct result of the #bushfires in #NSW Aug 2019 - Jan 2020.""

<U+0001F517> https://t.co/4eC432zHBe

#Australia #AustraliaBurning #AustralianBushfire #DAT https://t.co/M3D04BuifP",2020/1/13 14:31
x3154207014,x825783812227489794,HumboldtBunny,Jr3597,2020/1/13 14:31,"180/<U+0001F1E6><U+0001F1FA><U+0001F4B8> #AustralianBushfires
#NSWfires ""Assistance is avail if you can show you lost income/have been adversely affected as a direct result of the #bushfires in #NSW Aug 2019 - Jan 2020.""

<U+0001F517> https://t.co/4eC432zHBe

#Australia #AustraliaBurning #AustralianBushfire #DAT https://t.co/M3D04BuifP",2020/1/13 14:31
x833224452787761152,x825783812227489794,elle_desylva,Jr3597,2020/1/13 14:31,"180/<U+0001F1E6><U+0001F1FA><U+0001F4B8> #AustralianBushfires
#NSWfires ""Assistance is avail if you can show you lost income/have been adversely affected as a direct result of the #bushfires in #NSW Aug 2019 - Jan 2020.""

<U+0001F517> https://t.co/4eC432zHBe

#Australia #AustraliaBurning #AustralianBushfire #DAT https://t.co/M3D04BuifP",2020/1/13 14:31
x81637999,x827310342925586432,FritzQuincke,ScienceMarchKBN,2020/1/13 14:31,Unsere Sprecherin Astrid Kiendler-Scharr vom #MarchForScience 2019 spricht mit dem @DLF Ã¼ber die Auswirkungen der WaldbrÃ¤nde in #Australien auf den Rest der Welt. #AustraliaFires #AustralianBushfire #AustraliaBurns https://t.co/eAUrm9goSM,2020/1/13 14:31
x1359533838,x18585097,MoSchaefer66,bund_net,2020/1/13 14:32,"#Siemens beteiligt sich weiter an Kohleberg- und Tagebau in #Australien. <U+0001F620> Wir werden Sie an ihre Mitverantwortung fÃ¼r die #Klimakrise erinnern, Herr @JoeKaeser! #StopAdani #AustralianBushfire 
https://t.co/GBI1Wgrcbk",2020/1/13 14:32
x80333421,x18585097,SculllyD,bund_net,2020/1/13 14:32,"#Siemens beteiligt sich weiter an Kohleberg- und Tagebau in #Australien. <U+0001F620> Wir werden Sie an ihre Mitverantwortung fÃ¼r die #Klimakrise erinnern, Herr @JoeKaeser! #StopAdani #AustralianBushfire 
https://t.co/GBI1Wgrcbk",2020/1/13 14:32
x112526774,x18585097,Michael_Kunz,bund_net,2020/1/13 14:32,"#Siemens beteiligt sich weiter an Kohleberg- und Tagebau in #Australien. <U+0001F620> Wir werden Sie an ihre Mitverantwortung fÃ¼r die #Klimakrise erinnern, Herr @JoeKaeser! #StopAdani #AustralianBushfire 
https://t.co/GBI1Wgrcbk",2020/1/13 14:32
x55819705,x795378998087995392,rjstrikers,Jay_Clandestino,2020/1/13 14:33,"#Australia
Impactantes imÃ¡genes de #AustralianBushfire.
Es increÃ­ble un paÃ­s caracterizado por comercializar su belleza natural en flora y fauna, atraviese un caos como este!
#MilitanteDeLaPaz
#UnidosEnVictorias
#TuiterosActivosNicaragua
https://t.co/6tYESOhW6U",2020/1/13 14:33
x1005833032274710528,x795378998087995392,LeonelRugamaNic,Jay_Clandestino,2020/1/13 14:33,"#Australia
Impactantes imÃ¡genes de #AustralianBushfire.
Es increÃ­ble un paÃ­s caracterizado por comercializar su belleza natural en flora y fauna, atraviese un caos como este!
#MilitanteDeLaPaz
#UnidosEnVictorias
#TuiterosActivosNicaragua
https://t.co/6tYESOhW6U",2020/1/13 14:33
x1091996470402867201,x1091996470402867201,Dahl_Consult,Dahl_Consult,2020/1/13 15:07,"<U+0001F538>â€˜Thank you' messages to honor the efforts of the fire services 
 on #Sydney Opera House <U+0001F64F><U+0001F3FC>. #AustralianBushfire via @nowthisnews 

@DrJDrooghaag @alcgroup @AmandaRay02 @stanleywaite1 @KeithKeller @Julez_Norton @smaksked @Victoryabro @ShiCooks @Dkell999 
https://t.co/gMqUzU1zKR",2020/1/13 15:07
