user_id,retweet_user_id,screen_name,retweet_screen_name,retweet_created_at,text,time
x1212880906366504960,x85583894,findabedAU,QasimRashid,2020/1/13 2:00,"Bezos earns $690K every 4.5 minutes

Bezos giving $690K to charity impacts his wallet the same as if an avg Australian gave 70 cents to charity

70 cents

If mega corps actually cared about social responsibilityâ€”theyâ€™d start by paying their fair share of taxes
#AustralianBushfire",2020/1/13 2:00
x46216049,x85583894,2xa1234,QasimRashid,2020/1/13 2:00,"Bezos earns $690K every 4.5 minutes

Bezos giving $690K to charity impacts his wallet the same as if an avg Australian gave 70 cents to charity

70 cents

If mega corps actually cared about social responsibilityâ€”theyâ€™d start by paying their fair share of taxes
#AustralianBushfire",2020/1/13 2:00
x445996709,x445996709,JHH__,JHH__,2020/1/13 2:24,"THE GASFIELD frack RESEARCH has already been done #BushFireCrisisAustralia
#AustralianBushfire #bushfireaustralia  #melbournesmoke
#auspol #auspol2019 #4BC #4GB FRACKING GAS OIL WELLS
#australiafire
#AustralianBushfireDisaster
#AustraliaisBurning #FireFightAustralia https://t.co/WAWgrSF0mb",2020/1/13 2:24
x445996709,x445996709,JHH__,JHH__,2020/1/13 2:40,"THE GASFIELD frack RESEARCH has already been done #BushFireCrisisAustralia
#AustralianBushfire #bushfireaustralia  #melbournesmoke
#auspol #auspol2019 #4BC #2GB FRACKING GAS OIL WELLS
#australiafire
#AustralianBushfireDisaster
#AustraliaisBurning #FireFightAustralia https://t.co/yjcuy8sWDs",2020/1/13 2:40
x445996709,x445996709,JHH__,JHH__,2020/1/13 2:41,"THE GASFIELD frack RESEARCH has already been done #BushFireCrisisAustralia
#AustralianBushfire #bushfireaustralia  #melbournesmoke
#auspol #auspol2019 #4BC #2GB FRACKING GAS OIL WELLS
#australiafire
#AustralianBushfireDisaster
#AustraliaisBurning #FireFightAustralia https://t.co/8jwlsAzHum",2020/1/13 2:41
x27890789,x27890789,danwon86,danwon86,2020/1/13 3:04,"The Atkins' Diet of Stupid. 
#ImpeachedForever #BernieBeatsTrump #NotMyPresident #ClimateEmergency #TrumpIsAWarCriminal #TrumpFearsBernie #FakeNewsCNN #facts #FalseFlag #IraqiRevolution #Iranian #AustralianFires #AustraliaBurning #AustralianBushfire #AustralianBushfiresDisaster https://t.co/yA4Z3XEjeK",2020/1/13 3:04
x2420014062,x149666064,NorteSur7,SarahJReports,2020/1/13 3:32,#AustraliaBurning #AustralianBushfire https://t.co/PN1ZvlYele,2020/1/13 3:32
x38650797,x1189057894169432064,IronFalcon77,Techrose11,2020/1/13 5:11,"Amazing Work food for animals in burnt forests in New South Wales, Australia<U+0001F64F><U+0001F495><U+0001F917>Cooler Temperatures Bring Some Australian Fires Under Control
#AustralianBushfire #AustraliaBushfires #PrayForAustralia #Australia #MotivaciÃ³n #MotivationMonday 
https://t.co/0S10hLDevc",2020/1/13 5:11
x1111206523324243969,x1189057894169432064,dr_seeme,Techrose11,2020/1/13 5:11,"Amazing Work food for animals in burnt forests in New South Wales, Australia<U+0001F64F><U+0001F495><U+0001F917>Cooler Temperatures Bring Some Australian Fires Under Control
#AustralianBushfire #AustraliaBushfires #PrayForAustralia #Australia #MotivaciÃ³n #MotivationMonday 
https://t.co/0S10hLDevc",2020/1/13 5:11
x1171079367352406016,x1189057894169432064,0lvHealer,Techrose11,2020/1/13 5:11,"Amazing Work food for animals in burnt forests in New South Wales, Australia<U+0001F64F><U+0001F495><U+0001F917>Cooler Temperatures Bring Some Australian Fires Under Control
#AustralianBushfire #AustraliaBushfires #PrayForAustralia #Australia #MotivaciÃ³n #MotivationMonday 
https://t.co/0S10hLDevc",2020/1/13 5:11
