nl;contrat_code;contrat_annee;contrat_lieu;contrat_code_lieu;cantiere;lien_F1F2;Lien_codeF1CodeF2;ind_fonction1;ind1_label;ind1_n_act;ind1_C_std;ind1_N_std;ind1_Code_PR;ind1_Code_O;ind_fonction2;ind2_label;ind2_n_act;ind2_C_std;ind2_N_std;ind2_Code_PR;ind2_Code_O
726;C1714_02_088;1714;torino;TO;torino università degli studi;S1-S2;S-S;S1;288 Quadrone B. (CM_P/MI);288;quadrone;bartolomeo;CM_P;MI;S2;10 Aprile F. (CM_P/LU);10;aprile;francesco;CM_P;LU
727;C1714_02_088;1714;torino;TO;torino università degli studi;S1-S3;S-S;S1;288 Quadrone B. (CM_P/MI);288;quadrone;bartolomeo;CM_P;MI;S3;97 Casella A. (CM_P/LU);97;casella;antonio;CM_P;LU
728;C1714_02_088;1714;torino;TO;torino università degli studi;S2-S3;S-S;S2;10 Aprile F. (CM_P/LU);10;aprile;francesco;CM_P;LU;S3;97 Casella A. (CM_P/LU);97;casella;antonio;CM_P;LU
729;C1714_02_090;1714;torino;TO;torino università degli studi;A1-G1;A-G;A1;10 Aprile F. (CM_P/LU);10;aprile;francesco;CM_P;LU;G1;351 Succi G. (NS/BI);351;succi;gio batta;NS;BI
730;C1714_02_090;1714;torino;TO;torino università degli studi;A1-S1;A-S;A1;10 Aprile F. (CM_P/LU);10;aprile;francesco;CM_P;LU;S1;347 Solari G. (CM_P/LU);347;solari;gio batta;CM_P;LU
731;C1714_02_090;1714;torino;TO;torino università degli studi;A1-S2;A-S;A1;10 Aprile F. (CM_P/LU);10;aprile;francesco;CM_P;LU;S2;348 Solari M. (M_P/LU);348;solari;martino;M_P;LU
732;C1714_02_090;1714;torino;TO;torino università degli studi;A1-S3;A-S;A1;10 Aprile F. (CM_P/LU);10;aprile;francesco;CM_P;LU;S3;345 Solari C. (CM_P/LU);345;solari;carlo;CM_P;LU
733;C1714_02_090;1714;torino;TO;torino università degli studi;A1-S4;A-S;A1;10 Aprile F. (CM_P/LU);10;aprile;francesco;CM_P;LU;S4;346 Solari G. (CM_P/LU);346;solari;giacomo;CM_P;LU
734;C1714_02_090;1714;torino;TO;torino università degli studi;A1-S5;A-S;A1;10 Aprile F. (CM_P/LU);10;aprile;francesco;CM_P;LU;S5;219 Mazzoni C. (CM_P/MI);219;mazzoni;carlo giuseppe;CM_P;MI
735;C1714_02_090;1714;torino;TO;torino università degli studi;G1-S1;G-S;G1;351 Succi G. (NS/BI);351;succi;gio batta;NS;BI;S1;347 Solari G. (CM_P/LU);347;solari;gio batta;CM_P;LU
736;C1714_02_090;1714;torino;TO;torino università degli studi;G1-S2;G-S;G1;351 Succi G. (NS/BI);351;succi;gio batta;NS;BI;S2;348 Solari M. (M_P/LU);348;solari;martino;M_P;LU
737;C1714_02_090;1714;torino;TO;torino università degli studi;G1-S3;G-S;G1;351 Succi G. (NS/BI);351;succi;gio batta;NS;BI;S3;345 Solari C. (CM_P/LU);345;solari;carlo;CM_P;LU
738;C1714_02_090;1714;torino;TO;torino università degli studi;G1-S4;G-S;G1;351 Succi G. (NS/BI);351;succi;gio batta;NS;BI;S4;346 Solari G. (CM_P/LU);346;solari;giacomo;CM_P;LU
739;C1714_02_090;1714;torino;TO;torino università degli studi;G1-S5;G-S;G1;351 Succi G. (NS/BI);351;succi;gio batta;NS;BI;S5;219 Mazzoni C. (CM_P/MI);219;mazzoni;carlo giuseppe;CM_P;MI
740;C1714_02_090;1714;torino;TO;torino università degli studi;S1-S2;S-S;S1;347 Solari G. (CM_P/LU);347;solari;gio batta;CM_P;LU;S2;348 Solari M. (M_P/LU);348;solari;martino;M_P;LU
741;C1714_02_090;1714;torino;TO;torino università degli studi;S1-S3;S-S;S1;347 Solari G. (CM_P/LU);347;solari;gio batta;CM_P;LU;S3;345 Solari C. (CM_P/LU);345;solari;carlo;CM_P;LU
742;C1714_02_090;1714;torino;TO;torino università degli studi;S1-S4;S-S;S1;347 Solari G. (CM_P/LU);347;solari;gio batta;CM_P;LU;S4;346 Solari G. (CM_P/LU);346;solari;giacomo;CM_P;LU
743;C1714_02_090;1714;torino;TO;torino università degli studi;S1-S5;S-S;S1;347 Solari G. (CM_P/LU);347;solari;gio batta;CM_P;LU;S5;219 Mazzoni C. (CM_P/MI);219;mazzoni;carlo giuseppe;CM_P;MI
744;C1714_02_090;1714;torino;TO;torino università degli studi;S2-S3;S-S;S2;348 Solari M. (M_P/LU);348;solari;martino;M_P;LU;S3;345 Solari C. (CM_P/LU);345;solari;carlo;CM_P;LU
745;C1714_02_090;1714;torino;TO;torino università degli studi;S2-S4;S-S;S2;348 Solari M. (M_P/LU);348;solari;martino;M_P;LU;S4;346 Solari G. (CM_P/LU);346;solari;giacomo;CM_P;LU
746;C1714_02_090;1714;torino;TO;torino università degli studi;S2-S5;S-S;S2;348 Solari M. (M_P/LU);348;solari;martino;M_P;LU;S5;219 Mazzoni C. (CM_P/MI);219;mazzoni;carlo giuseppe;CM_P;MI
747;C1714_02_090;1714;torino;TO;torino università degli studi;S3-S4;S-S;S3;345 Solari C. (CM_P/LU);345;solari;carlo;CM_P;LU;S4;346 Solari G. (CM_P/LU);346;solari;giacomo;CM_P;LU
748;C1714_02_090;1714;torino;TO;torino università degli studi;S3-S5;S-S;S3;345 Solari C. (CM_P/LU);345;solari;carlo;CM_P;LU;S5;219 Mazzoni C. (CM_P/MI);219;mazzoni;carlo giuseppe;CM_P;MI
749;C1714_02_090;1714;torino;TO;torino università degli studi;S4-S5;S-S;S4;346 Solari G. (CM_P/LU);346;solari;giacomo;CM_P;LU;S5;219 Mazzoni C. (CM_P/MI);219;mazzoni;carlo giuseppe;CM_P;MI
750;C1714_02_092;1714;brunetta;BR;brunetta;S1-S2;S-S;S1;281 Pistone G. (IMP/BI);281;pistone;gio stefano;IMP;BI;S2;374 Vanera M. (IMP/VL);374;vanera;michele;IMP;VL
751;C1714_02_092;1714;brunetta;BR;brunetta;S1-S3;S-S;S1;281 Pistone G. (IMP/BI);281;pistone;gio stefano;IMP;BI;S3;341 Sereno G. (IMP/Vsu);341;sereno;gioanni;IMP;Vsu
752;C1714_02_092;1714;brunetta;BR;brunetta;S1-S4;S-S;S1;281 Pistone G. (IMP/BI);281;pistone;gio stefano;IMP;BI;S4;258 Peraldo P. (IMP/BI);258;peraldo;pietro;IMP;BI
753;C1714_02_092;1714;brunetta;BR;brunetta;S1-S5;S-S;S1;281 Pistone G. (IMP/BI);281;pistone;gio stefano;IMP;BI;S5;283 Pistone G. (IMP/BI);283;pistone;giuseppe antonio;IMP;BI
754;C1714_02_092;1714;brunetta;BR;brunetta;S1-S6;S-S;S1;281 Pistone G. (IMP/BI);281;pistone;gio stefano;IMP;BI;S6;88 Capellaro F. (IMP/BI);88;capellaro;francesco;IMP;BI
755;C1714_02_092;1714;brunetta;BR;brunetta;S2-S3;S-S;S2;374 Vanera M. (IMP/VL);374;vanera;michele;IMP;VL;S3;341 Sereno G. (IMP/Vsu);341;sereno;gioanni;IMP;Vsu
756;C1714_02_092;1714;brunetta;BR;brunetta;S2-S4;S-S;S2;374 Vanera M. (IMP/VL);374;vanera;michele;IMP;VL;S4;258 Peraldo P. (IMP/BI);258;peraldo;pietro;IMP;BI
757;C1714_02_092;1714;brunetta;BR;brunetta;S2-S5;S-S;S2;374 Vanera M. (IMP/VL);374;vanera;michele;IMP;VL;S5;283 Pistone G. (IMP/BI);283;pistone;giuseppe antonio;IMP;BI
758;C1714_02_092;1714;brunetta;BR;brunetta;S2-S6;S-S;S2;374 Vanera M. (IMP/VL);374;vanera;michele;IMP;VL;S6;88 Capellaro F. (IMP/BI);88;capellaro;francesco;IMP;BI
759;C1714_02_092;1714;brunetta;BR;brunetta;S3-S4;S-S;S3;341 Sereno G. (IMP/Vsu);341;sereno;gioanni;IMP;Vsu;S4;258 Peraldo P. (IMP/BI);258;peraldo;pietro;IMP;BI
760;C1714_02_092;1714;brunetta;BR;brunetta;S3-S5;S-S;S3;341 Sereno G. (IMP/Vsu);341;sereno;gioanni;IMP;Vsu;S5;283 Pistone G. (IMP/BI);283;pistone;giuseppe antonio;IMP;BI
761;C1714_02_092;1714;brunetta;BR;brunetta;S3-S6;S-S;S3;341 Sereno G. (IMP/Vsu);341;sereno;gioanni;IMP;Vsu;S6;88 Capellaro F. (IMP/BI);88;capellaro;francesco;IMP;BI
762;C1714_02_092;1714;brunetta;BR;brunetta;S4-S5;S-S;S4;258 Peraldo P. (IMP/BI);258;peraldo;pietro;IMP;BI;S5;283 Pistone G. (IMP/BI);283;pistone;giuseppe antonio;IMP;BI
763;C1714_02_092;1714;brunetta;BR;brunetta;S4-S6;S-S;S4;258 Peraldo P. (IMP/BI);258;peraldo;pietro;IMP;BI;S6;88 Capellaro F. (IMP/BI);88;capellaro;francesco;IMP;BI
764;C1714_02_092;1714;brunetta;BR;brunetta;S5-S6;S-S;S5;283 Pistone G. (IMP/BI);283;pistone;giuseppe antonio;IMP;BI;S6;88 Capellaro F. (IMP/BI);88;capellaro;francesco;IMP;BI
765;C1714_02_096;1714;torino;TO;torino università degli studi e susa castello;A1-G1;A-G;A1;334 Sartoris G. (TOL/MI);334;sartoris;giuseppe;TOL;MI;G1;95 Casasopra G. (TOL/LU);95;casasopra;gio batta;TOL;LU
766;C1714_02_096;1714;torino;TO;torino università degli studi e susa castello;A1-S1;A-S;A1;334 Sartoris G. (TOL/MI);334;sartoris;giuseppe;TOL;MI;S1;84 Candellero G. (TOL/TO C);84;candellero;giuseppe;TOL;TO C
767;C1714_02_096;1714;torino;TO;torino università degli studi e susa castello;G1-S1;G-S;G1;95 Casasopra G. (TOL/LU);95;casasopra;gio batta;TOL;LU;S1;84 Candellero G. (TOL/TO C);84;candellero;giuseppe;TOL;TO C
768;C1715_03_003;1715;casale;CA;casale fiume po;A1-G1;A-G;A1;316 Romano T. (IMP/BI);316;romano;tomaso;IMP;BI;G1;223 Menafoglio A. (CM_M/MI);223;menafoglio;agostino;CM_M;MI
769;C1715_03_003;1715;casale;CA;casale fiume po;A1-S1;A-S;A1;316 Romano T. (IMP/BI);316;romano;tomaso;IMP;BI;S1;302 Righino P. (IMP/MI);302;righino;paulo andrea;IMP;MI
770;C1715_03_003;1715;casale;CA;casale fiume po;A1-S2;A-S;A1;316 Romano T. (IMP/BI);316;romano;tomaso;IMP;BI;S2;275 Pinchetti D. (CM_M/MI);275;pinchetti;domenico;CM_M;MI
771;C1715_03_003;1715;casale;CA;casale fiume po;A1-S3;A-S;A1;316 Romano T. (IMP/BI);316;romano;tomaso;IMP;BI;S3;226 Menafoglio C. (CM_M/MI);226;menafoglio;carlo andrea;CM_M;MI
772;C1715_03_003;1715;casale;CA;casale fiume po;G1-S1;G-S;G1;223 Menafoglio A. (CM_M/MI);223;menafoglio;agostino;CM_M;MI;S1;302 Righino P. (IMP/MI);302;righino;paulo andrea;IMP;MI
773;C1715_03_003;1715;casale;CA;casale fiume po;G1-S2;G-S;G1;223 Menafoglio A. (CM_M/MI);223;menafoglio;agostino;CM_M;MI;S2;275 Pinchetti D. (CM_M/MI);275;pinchetti;domenico;CM_M;MI
774;C1715_03_003;1715;casale;CA;casale fiume po;G1-S3;G-S;G1;223 Menafoglio A. (CM_M/MI);223;menafoglio;agostino;CM_M;MI;S3;226 Menafoglio C. (CM_M/MI);226;menafoglio;carlo andrea;CM_M;MI
775;C1715_03_003;1715;casale;CA;casale fiume po;S1-S2;S-S;S1;302 Righino P. (IMP/MI);302;righino;paulo andrea;IMP;MI;S2;275 Pinchetti D. (CM_M/MI);275;pinchetti;domenico;CM_M;MI
776;C1715_03_003;1715;casale;CA;casale fiume po;S1-S3;S-S;S1;302 Righino P. (IMP/MI);302;righino;paulo andrea;IMP;MI;S3;226 Menafoglio C. (CM_M/MI);226;menafoglio;carlo andrea;CM_M;MI
777;C1715_03_003;1715;casale;CA;casale fiume po;S2-S3;S-S;S2;275 Pinchetti D. (CM_M/MI);275;pinchetti;domenico;CM_M;MI;S3;226 Menafoglio C. (CM_M/MI);226;menafoglio;carlo andrea;CM_M;MI
778;C1715_03_006;1715;valenza;VAL;valenza fortificazioni;A1-G1;A-G;A1;78 Caligaris A. (NS/BI);78;caligaris;antonio;NS;BI;G1;303 Righino P. (NS/MI);303;righino;paulo gerolamo;NS;MI
779;C1715_03_006;1715;valenza;VAL;valenza fortificazioni;A1-S1;A-S;A1;78 Caligaris A. (NS/BI);78;caligaris;antonio;NS;BI;S1;275 Pinchetti D. (CM_M/MI);275;pinchetti;domenico;CM_M;MI
780;C1715_03_006;1715;valenza;VAL;valenza fortificazioni;A1-S2;A-S;A1;78 Caligaris A. (NS/BI);78;caligaris;antonio;NS;BI;S2;226 Menafoglio C. (CM_M/MI);226;menafoglio;carlo andrea;CM_M;MI
781;C1715_03_006;1715;valenza;VAL;valenza fortificazioni;A1-S3;A-S;A1;78 Caligaris A. (NS/BI);78;caligaris;antonio;NS;BI;S3;202 Maciotta G. (IMP/BI);202;maciotta;giacomo;IMP;BI
782;C1715_03_006;1715;valenza;VAL;valenza fortificazioni;G1-S1;G-S;G1;303 Righino P. (NS/MI);303;righino;paulo gerolamo;NS;MI;S1;275 Pinchetti D. (CM_M/MI);275;pinchetti;domenico;CM_M;MI
783;C1715_03_006;1715;valenza;VAL;valenza fortificazioni;G1-S2;G-S;G1;303 Righino P. (NS/MI);303;righino;paulo gerolamo;NS;MI;S2;226 Menafoglio C. (CM_M/MI);226;menafoglio;carlo andrea;CM_M;MI
784;C1715_03_006;1715;valenza;VAL;valenza fortificazioni;G1-S3;G-S;G1;303 Righino P. (NS/MI);303;righino;paulo gerolamo;NS;MI;S3;202 Maciotta G. (IMP/BI);202;maciotta;giacomo;IMP;BI
785;C1715_03_006;1715;valenza;VAL;valenza fortificazioni;S1-S2;S-S;S1;275 Pinchetti D. (CM_M/MI);275;pinchetti;domenico;CM_M;MI;S2;226 Menafoglio C. (CM_M/MI);226;menafoglio;carlo andrea;CM_M;MI
786;C1715_03_006;1715;valenza;VAL;valenza fortificazioni;S1-S3;S-S;S1;275 Pinchetti D. (CM_M/MI);275;pinchetti;domenico;CM_M;MI;S3;202 Maciotta G. (IMP/BI);202;maciotta;giacomo;IMP;BI
787;C1715_03_006;1715;valenza;VAL;valenza fortificazioni;S2-S3;S-S;S2;226 Menafoglio C. (CM_M/MI);226;menafoglio;carlo andrea;CM_M;MI;S3;202 Maciotta G. (IMP/BI);202;maciotta;giacomo;IMP;BI
788;C1715_03_014;1715;torino;TO;torino cittadella;A1-G1;A-G;A1;282 Pistone G. (IMP/BI);282;pistone;giulio;IMP;BI;G1;153 Galimberti G. (negoziante/MI);153;galimberti;giuseppe maria;negoziante;MI
789;C1715_03_014;1715;torino;TO;torino cittadella;A1-S1;A-S;A1;282 Pistone G. (IMP/BI);282;pistone;giulio;IMP;BI;S1;275 Pinchetti D. (CM_M/MI);275;pinchetti;domenico;CM_M;MI
790;C1715_03_014;1715;torino;TO;torino cittadella;A1-S2;A-S;A1;282 Pistone G. (IMP/BI);282;pistone;giulio;IMP;BI;S2;226 Menafoglio C. (CM_M/MI);226;menafoglio;carlo andrea;CM_M;MI
791;C1715_03_014;1715;torino;TO;torino cittadella;A1-S3;A-S;A1;282 Pistone G. (IMP/BI);282;pistone;giulio;IMP;BI;S3;202 Maciotta G. (IMP/BI);202;maciotta;giacomo;IMP;BI
792;C1715_03_014;1715;torino;TO;torino cittadella;A1-S4;A-S;A1;282 Pistone G. (IMP/BI);282;pistone;giulio;IMP;BI;S4;89 Capellaro G. (IMP/BI);89;capellaro;gio francesco;IMP;BI
793;C1715_03_014;1715;torino;TO;torino cittadella;G1-S1;G-S;G1;153 Galimberti G. (negoziante/MI);153;galimberti;giuseppe maria;negoziante;MI;S1;275 Pinchetti D. (CM_M/MI);275;pinchetti;domenico;CM_M;MI
794;C1715_03_014;1715;torino;TO;torino cittadella;G1-S2;G-S;G1;153 Galimberti G. (negoziante/MI);153;galimberti;giuseppe maria;negoziante;MI;S2;226 Menafoglio C. (CM_M/MI);226;menafoglio;carlo andrea;CM_M;MI
795;C1715_03_014;1715;torino;TO;torino cittadella;G1-S3;G-S;G1;153 Galimberti G. (negoziante/MI);153;galimberti;giuseppe maria;negoziante;MI;S3;202 Maciotta G. (IMP/BI);202;maciotta;giacomo;IMP;BI
796;C1715_03_014;1715;torino;TO;torino cittadella;G1-S4;G-S;G1;153 Galimberti G. (negoziante/MI);153;galimberti;giuseppe maria;negoziante;MI;S4;89 Capellaro G. (IMP/BI);89;capellaro;gio francesco;IMP;BI
797;C1715_03_014;1715;torino;TO;torino cittadella;S1-S2;S-S;S1;275 Pinchetti D. (CM_M/MI);275;pinchetti;domenico;CM_M;MI;S2;226 Menafoglio C. (CM_M/MI);226;menafoglio;carlo andrea;CM_M;MI
798;C1715_03_014;1715;torino;TO;torino cittadella;S1-S3;S-S;S1;275 Pinchetti D. (CM_M/MI);275;pinchetti;domenico;CM_M;MI;S3;202 Maciotta G. (IMP/BI);202;maciotta;giacomo;IMP;BI
799;C1715_03_014;1715;torino;TO;torino cittadella;S1-S4;S-S;S1;275 Pinchetti D. (CM_M/MI);275;pinchetti;domenico;CM_M;MI;S4;89 Capellaro G. (IMP/BI);89;capellaro;gio francesco;IMP;BI
800;C1715_03_014;1715;torino;TO;torino cittadella;S2-S3;S-S;S2;226 Menafoglio C. (CM_M/MI);226;menafoglio;carlo andrea;CM_M;MI;S3;202 Maciotta G. (IMP/BI);202;maciotta;giacomo;IMP;BI
801;C1715_03_014;1715;torino;TO;torino cittadella;S2-S4;S-S;S2;226 Menafoglio C. (CM_M/MI);226;menafoglio;carlo andrea;CM_M;MI;S4;89 Capellaro G. (IMP/BI);89;capellaro;gio francesco;IMP;BI
802;C1715_03_014;1715;torino;TO;torino cittadella;S3-S4;S-S;S3;202 Maciotta G. (IMP/BI);202;maciotta;giacomo;IMP;BI;S4;89 Capellaro G. (IMP/BI);89;capellaro;gio francesco;IMP;BI
803;C1715_03_019;1715;fenestrelle;FE;fenestrelle;A1-G1;A-G;A1;378 Vanotti P. (NS/TO C);378;vanotti;pietro;NS;TO C;G1;387 Zanetti B. (IMP/TO C);387;zanetti;bartolomeo;IMP;TO C
804;C1715_03_019;1715;fenestrelle;FE;fenestrelle;A1-S1;A-S;A1;378 Vanotti P. (NS/TO C);378;vanotti;pietro;NS;TO C;S1;117 Cribiatello F. (IMP/MI);117;cribiatello;francesco;IMP;MI
805;C1715_03_019;1715;fenestrelle;FE;fenestrelle;A1-S2;A-S;A1;378 Vanotti P. (NS/TO C);378;vanotti;pietro;NS;TO C;S2;332 Sardi P. (IMP/LU);332;sardi;pietro;IMP;LU
806;C1715_03_019;1715;fenestrelle;FE;fenestrelle;G1-S1;G-S;G1;387 Zanetti B. (IMP/TO C);387;zanetti;bartolomeo;IMP;TO C;S1;117 Cribiatello F. (IMP/MI);117;cribiatello;francesco;IMP;MI
807;C1715_03_019;1715;fenestrelle;FE;fenestrelle;G1-S2;G-S;G1;387 Zanetti B. (IMP/TO C);387;zanetti;bartolomeo;IMP;TO C;S2;332 Sardi P. (IMP/LU);332;sardi;pietro;IMP;LU
808;C1715_03_019;1715;fenestrelle;FE;fenestrelle;S1-S2;S-S;S1;117 Cribiatello F. (IMP/MI);117;cribiatello;francesco;IMP;MI;S2;332 Sardi P. (IMP/LU);332;sardi;pietro;IMP;LU
809;C1715_03_024;1715;saluzzo;SAL;saluzzo castello;A1-G1;A-G;A1;390 Zo G. (M_F/BI);390;zo;gio batta;M_F;BI;G1;227 Menafoglio F. (NS/MI);227;menafoglio;francesco andrea;NS;MI
810;C1715_03_024;1715;saluzzo;SAL;saluzzo castello;A1-S1;A-S;A1;390 Zo G. (M_F/BI);390;zo;gio batta;M_F;BI;S1;226 Menafoglio C. (CM_M/MI);226;menafoglio;carlo andrea;CM_M;MI
811;C1715_03_024;1715;saluzzo;SAL;saluzzo castello;A1-S2;A-S;A1;390 Zo G. (M_F/BI);390;zo;gio batta;M_F;BI;S2;316 Romano T. (IMP/BI);316;romano;tomaso;IMP;BI
812;C1715_03_024;1715;saluzzo;SAL;saluzzo castello;G1-S1;G-S;G1;227 Menafoglio F. (NS/MI);227;menafoglio;francesco andrea;NS;MI;S1;226 Menafoglio C. (CM_M/MI);226;menafoglio;carlo andrea;CM_M;MI
813;C1715_03_024;1715;saluzzo;SAL;saluzzo castello;G1-S2;G-S;G1;227 Menafoglio F. (NS/MI);227;menafoglio;francesco andrea;NS;MI;S2;316 Romano T. (IMP/BI);316;romano;tomaso;IMP;BI
814;C1715_03_024;1715;saluzzo;SAL;saluzzo castello;S1-S2;S-S;S1;226 Menafoglio C. (CM_M/MI);226;menafoglio;carlo andrea;CM_M;MI;S2;316 Romano T. (IMP/BI);316;romano;tomaso;IMP;BI
815;C1715_03_033;1715;torino;TO;torino ingrandimento porta susa;A1-G1;A-G;A1;113 Corte A. (NS/MI);113;corte;ambrogio;NS;MI;G1;14 Astrano G. (misuratore/TO C);14;astrano;gio antonio;misuratore;TO C
816;C1715_03_033;1715;torino;TO;torino ingrandimento porta susa;A1-S1;A-S;A1;113 Corte A. (NS/MI);113;corte;ambrogio;NS;MI;S1;23 Bello G. (IMP/TO C);23;bello;giacomo1;IMP;TO C
817;C1715_03_033;1715;torino;TO;torino ingrandimento porta susa;A1-S2;A-S;A1;113 Corte A. (NS/MI);113;corte;ambrogio;NS;MI;S2;29 Bello P. (IMP/TO C);29;bello;pietro maria (fratello di giacomo);IMP;TO C
818;C1715_03_033;1715;torino;TO;torino ingrandimento porta susa;A1-S3;A-S;A1;113 Corte A. (NS/MI);113;corte;ambrogio;NS;MI;S3;35 Bellotto G. (IMP/MI);35;bellotto;giacomo;IMP;MI
819;C1715_03_033;1715;torino;TO;torino ingrandimento porta susa;G1-S1;G-S;G1;14 Astrano G. (misuratore/TO C);14;astrano;gio antonio;misuratore;TO C;S1;23 Bello G. (IMP/TO C);23;bello;giacomo1;IMP;TO C
820;C1715_03_033;1715;torino;TO;torino ingrandimento porta susa;G1-S2;G-S;G1;14 Astrano G. (misuratore/TO C);14;astrano;gio antonio;misuratore;TO C;S2;29 Bello P. (IMP/TO C);29;bello;pietro maria (fratello di giacomo);IMP;TO C
821;C1715_03_033;1715;torino;TO;torino ingrandimento porta susa;G1-S3;G-S;G1;14 Astrano G. (misuratore/TO C);14;astrano;gio antonio;misuratore;TO C;S3;35 Bellotto G. (IMP/MI);35;bellotto;giacomo;IMP;MI
822;C1715_03_033;1715;torino;TO;torino ingrandimento porta susa;S1-S2;S-S;S1;23 Bello G. (IMP/TO C);23;bello;giacomo1;IMP;TO C;S2;29 Bello P. (IMP/TO C);29;bello;pietro maria (fratello di giacomo);IMP;TO C
823;C1715_03_033;1715;torino;TO;torino ingrandimento porta susa;S1-S3;S-S;S1;23 Bello G. (IMP/TO C);23;bello;giacomo1;IMP;TO C;S3;35 Bellotto G. (IMP/MI);35;bellotto;giacomo;IMP;MI
824;C1715_03_033;1715;torino;TO;torino ingrandimento porta susa;S2-S3;S-S;S2;29 Bello P. (IMP/TO C);29;bello;pietro maria (fratello di giacomo);IMP;TO C;S3;35 Bellotto G. (IMP/MI);35;bellotto;giacomo;IMP;MI
825;C1715_03_041;1715;rivoli;RI;rivoli castello;A1-G1;A-G;A1;179 Giudici F. (NS/MI);179;giudici;francesco maria;NS;MI;G1;139 Fontana D. (IMP/MI);139;fontana;domenico;IMP;MI
826;C1715_03_041;1715;rivoli;RI;rivoli castello;A1-S1;A-S;A1;179 Giudici F. (NS/MI);179;giudici;francesco maria;NS;MI;S1;219 Mazzoni C. (CM_P/MI);219;mazzoni;carlo giuseppe;CM_P;MI
827;C1715_03_041;1715;rivoli;RI;rivoli castello;A1-S2;A-S;A1;179 Giudici F. (NS/MI);179;giudici;francesco maria;NS;MI;S2;110 Compassi C. (M_P/MI);110;compassi;carlo stefano;M_P;MI
828;C1715_03_041;1715;rivoli;RI;rivoli castello;G1-S1;G-S;G1;139 Fontana D. (IMP/MI);139;fontana;domenico;IMP;MI;S1;219 Mazzoni C. (CM_P/MI);219;mazzoni;carlo giuseppe;CM_P;MI
829;C1715_03_041;1715;rivoli;RI;rivoli castello;G1-S2;G-S;G1;139 Fontana D. (IMP/MI);139;fontana;domenico;IMP;MI;S2;110 Compassi C. (M_P/MI);110;compassi;carlo stefano;M_P;MI
830;C1715_03_041;1715;rivoli;RI;rivoli castello;S1-S2;S-S;S1;219 Mazzoni C. (CM_P/MI);219;mazzoni;carlo giuseppe;CM_P;MI;S2;110 Compassi C. (M_P/MI);110;compassi;carlo stefano;M_P;MI
831;C1715_03_044;1715;brunetta;BR;brunetta;A1-G1;A-G;A1;57 Biolaro P. (M_F/VL);57;biolaro;pietro antonio;M_F;VL;G1;22 Bellico G. (misuratore/TO C);22;bellico;gio francesco;misuratore;TO C
832;C1715_03_044;1715;brunetta;BR;brunetta;A1-S1;A-S;A1;57 Biolaro P. (M_F/VL);57;biolaro;pietro antonio;M_F;VL;S1;361 Toscanello F. (impresaro minatore/LU);361;toscanello;francesco;impresaro minatore;LU
833;C1715_03_044;1715;brunetta;BR;brunetta;A1-S2;A-S;A1;57 Biolaro P. (M_F/VL);57;biolaro;pietro antonio;M_F;VL;S2;130 Favre F. (IMP/AO);130;favre;francesco giuseppe;IMP;AO
834;C1715_03_044;1715;brunetta;BR;brunetta;A1-S3;A-S;A1;57 Biolaro P. (M_F/VL);57;biolaro;pietro antonio;M_F;VL;S3;117 Cribiatello F. (IMP/MI);117;cribiatello;francesco;IMP;MI
835;C1715_03_044;1715;brunetta;BR;brunetta;G1-S1;G-S;G1;22 Bellico G. (misuratore/TO C);22;bellico;gio francesco;misuratore;TO C;S1;361 Toscanello F. (impresaro minatore/LU);361;toscanello;francesco;impresaro minatore;LU
836;C1715_03_044;1715;brunetta;BR;brunetta;G1-S2;G-S;G1;22 Bellico G. (misuratore/TO C);22;bellico;gio francesco;misuratore;TO C;S2;130 Favre F. (IMP/AO);130;favre;francesco giuseppe;IMP;AO
837;C1715_03_044;1715;brunetta;BR;brunetta;G1-S3;G-S;G1;22 Bellico G. (misuratore/TO C);22;bellico;gio francesco;misuratore;TO C;S3;117 Cribiatello F. (IMP/MI);117;cribiatello;francesco;IMP;MI
838;C1715_03_044;1715;brunetta;BR;brunetta;S1-S2;S-S;S1;361 Toscanello F. (impresaro minatore/LU);361;toscanello;francesco;impresaro minatore;LU;S2;130 Favre F. (IMP/AO);130;favre;francesco giuseppe;IMP;AO
839;C1715_03_044;1715;brunetta;BR;brunetta;S1-S3;S-S;S1;361 Toscanello F. (impresaro minatore/LU);361;toscanello;francesco;impresaro minatore;LU;S3;117 Cribiatello F. (IMP/MI);117;cribiatello;francesco;IMP;MI
840;C1715_03_044;1715;brunetta;BR;brunetta;S2-S3;S-S;S2;130 Favre F. (IMP/AO);130;favre;francesco giuseppe;IMP;AO;S3;117 Cribiatello F. (IMP/MI);117;cribiatello;francesco;IMP;MI
841;C1715_03_050;1715;torino;TO;torino unversità degli studi;A1-G1;A-G;A1;160 Gambassone G. (NS/NS);160;gambassone;gio martino;NS;NS;G1;232 Morino C. (panattaro/NS);232;morino;carlo francesco;panattaro;NS
842;C1715_03_050;1715;torino;TO;torino unversità degli studi;A1-S1;A-S;A1;160 Gambassone G. (NS/NS);160;gambassone;gio martino;NS;NS;S1;353 Tepati B. (NS/VL);353;tepati;bernardo;NS;VL
843;C1715_03_050;1715;torino;TO;torino unversità degli studi;G1-S1;G-S;G1;232 Morino C. (panattaro/NS);232;morino;carlo francesco;panattaro;NS;S1;353 Tepati B. (NS/VL);353;tepati;bernardo;NS;VL
