source,destination,timestamp,time
59,62,1,2020-01-01 00
59,82,1,2020-01-01 00
59,102,1,2020-01-01 00
59,106,1,2020-01-01 00
59,109,1,2020-01-01 00
59,111,1,2020-01-01 00
59,126,1,2020-01-01 00
59,143,1,2020-01-01 00
59,144,1,2020-01-01 00
60,98,1,2020-01-01 00
60,117,1,2020-01-01 00
60,128,1,2020-01-01 00
61,65,1,2020-01-01 00
61,70,1,2020-01-01 00
61,86,1,2020-01-01 00
61,94,1,2020-01-01 00
61,102,1,2020-01-01 00
61,108,1,2020-01-01 00
61,109,1,2020-01-01 00
61,112,1,2020-01-01 00
61,117,1,2020-01-01 00
62,74,1,2020-01-01 00
62,104,1,2020-01-01 00
62,106,1,2020-01-01 00
62,138,1,2020-01-01 00
62,140,1,2020-01-01 00
62,146,1,2020-01-01 00
63,66,1,2020-01-01 00
63,77,1,2020-01-01 00
63,102,1,2020-01-01 00
63,119,1,2020-01-01 00
63,127,1,2020-01-01 00
63,136,1,2020-01-01 00
63,137,1,2020-01-01 00
63,139,1,2020-01-01 00
63,140,1,2020-01-01 00
63,143,1,2020-01-01 00
63,144,1,2020-01-01 00
64,65,1,2020-01-01 00
64,93,1,2020-01-01 00
64,108,1,2020-01-01 00
64,111,1,2020-01-01 00
65,98,1,2020-01-01 00
65,103,1,2020-01-01 00
65,108,1,2020-01-01 00
65,117,1,2020-01-01 00
65,128,1,2020-01-01 00
65,143,1,2020-01-01 00
65,144,1,2020-01-01 00
66,84,1,2020-01-01 00
67,138,1,2020-01-01 00
67,143,1,2020-01-01 00
68,78,1,2020-01-01 00
68,86,1,2020-01-01 00
68,89,1,2020-01-01 00
68,108,1,2020-01-01 00
70,98,1,2020-01-01 00
70,117,1,2020-01-01 00
70,142,1,2020-01-01 00
73,78,1,2020-01-01 00
73,128,1,2020-01-01 00
74,77,1,2020-01-01 00
74,78,1,2020-01-01 00
74,83,1,2020-01-01 00
74,111,1,2020-01-01 00
74,119,1,2020-01-01 00
74,140,1,2020-01-01 00
75,78,1,2020-01-01 00
75,138,1,2020-01-01 00
77,82,1,2020-01-01 00
77,86,1,2020-01-01 00
77,109,1,2020-01-01 00
77,111,1,2020-01-01 00
77,119,1,2020-01-01 00
77,126,1,2020-01-01 00
77,127,1,2020-01-01 00
77,137,1,2020-01-01 00
77,142,1,2020-01-01 00
77,144,1,2020-01-01 00
78,79,1,2020-01-01 00
78,83,1,2020-01-01 00
78,86,1,2020-01-01 00
78,89,1,2020-01-01 00
78,118,1,2020-01-01 00
78,122,1,2020-01-01 00
78,127,1,2020-01-01 00
78,130,1,2020-01-01 00
78,133,1,2020-01-01 00
79,133,1,2020-01-01 00
82,109,1,2020-01-01 00
82,118,1,2020-01-01 00
82,126,1,2020-01-01 00
82,137,1,2020-01-01 00
82,144,1,2020-01-01 00
83,92,1,2020-01-01 00
83,108,1,2020-01-01 00
83,111,1,2020-01-01 00
84,112,1,2020-01-01 00
84,113,1,2020-01-01 00
84,128,1,2020-01-01 00
84,137,1,2020-01-01 00
84,142,1,2020-01-01 00
